DNE,function_all
497.282314618589,01_carnivora_basal
302.632865329826,01_carnivora_basal
323.454783285176,01_carnivora_basal
260.747851318823,01_carnivora_basal
266.265951712173,01_carnivora_basal
368.809025123414,01_carnivora_basal
303.176057674719,01_carnivora_basal
384.286421085084,01_carnivora_basal
429.739842962762,01_carnivora_basal
359.092881310559,01_carnivora_basal
391.654756457983,01_carnivora_basal
405.57375718269,01_carnivora_basal
398.902951637192,01_carnivora_basal
448.591292157599,01_carnivora_basal
320.780963411078,01_carnivora_basal
263.795314882031,01_carnivora_basal
274.309928393132,01_carnivora_basal
260.930187458835,02_carnivora_derived
190.147776763082,02_carnivora_derived
227.22946282318,02_carnivora_derived
202.527854823481,02_carnivora_derived
195.52040963513,02_carnivora_derived
150.948544292183,02_carnivora_derived
272.030316575918,02_carnivora_derived
233.866253124582,02_carnivora_derived
136.018384201524,02_carnivora_derived
146.073442233282,02_carnivora_derived
110.159732001106,02_carnivora_derived
251.477482367153,02_carnivora_derived
276.417558019728,02_carnivora_derived
249.978816119135,02_carnivora_derived
375.214308533702,02_carnivora_derived
457.370573285122,02_carnivora_derived
423.639836213843,02_carnivora_derived
191.609739082005,02_carnivora_derived
310.387867922921,02_carnivora_derived
216.671342119815,02_carnivora_derived
664.566049715874,02_carnivora_derived
208.552742213859,02_carnivora_derived
242.318819261646,02_carnivora_derived
243.7478038702,02_carnivora_derived
142.169666933151,02_carnivora_derived
257.42051196077,02_carnivora_derived
316.975027705659,02_carnivora_derived
372.947596485425,02_carnivora_derived
251.978177252785,02_carnivora_derived
265.920000174434,03_dasy_basal
209.992913578612,03_dasy_basal
322.275560965425,03_dasy_basal
276.408970469742,03_dasy_basal
321.477167490059,03_dasy_basal
301.688684088618,03_dasy_basal
230.328835719689,04_dasy_derived
393.62131371139,04_dasy_derived
389.303741317209,04_dasy_derived
270.309620357678,04_dasy_derived
198.368958718272,04_dasy_derived
223.093913793796,04_dasy_derived
325.863351230856,06_hy_derived
278.905571815548,06_hy_derived
304.049370686712,06_hy_derived
240.188747805036,06_hy_derived
319.728653803929,06_hy_derived
308.429296409122,06_hy_derived
410.797924104693,06_hy_derived
149.752859331825,06_hy_derived
