X01_carnivora_basal,X02_carnivora_derived,X03_dasy_basal,X04_dasy_derived,X05_hy_derived
497.282314618589,260.930187458835,265.920000174434,230.328835719689,325.863351230856
302.632865329826,190.147776763082,209.992913578612,393.62131371139,278.905571815548
323.454783285176,227.22946282318,322.275560965425,389.303741317209,304.049370686712
260.747851318823,202.527854823481,276.408970469742,270.309620357678,240.188747805036
266.265951712173,195.52040963513,321.477167490059,198.368958718272,319.728653803929
368.809025123414,150.948544292183,301.688684088618,223.093913793796,308.429296409122
303.176057674719,272.030316575918,243.445014840695,,410.797924104693
384.286421085084,233.866253124582,,,149.752859331825
429.739842962762,136.018384201524,,,
359.092881310559,146.073442233282,,,
391.654756457983,110.159732001106,,,
405.57375718269,251.477482367153,,,
398.902951637192,276.417558019728,,,
448.591292157599,249.978816119135,,,
320.780963411078,375.214308533702,,,
263.795314882031,457.370573285122,,,
274.309928393132,423.639836213843,,,
,191.609739082005,,,
,310.387867922921,,,
,216.671342119815,,,
,664.566049715874,,,
,208.552742213859,,,
,242.318819261646,,,
,243.7478038702,,,
,142.169666933151,,,
,257.42051196077,,,
,316.975027705659,,,
,372.947596485425,,,
,251.9782,,,
