DNE,angle,ariaDNE
110.159732001106,94,0.051691
136.018384201524,88,0.052995
142.169666933151,91,0.062483
146.073442233282,96,0.054928
149.752859331825,61,0.065381
150.948544292183,91,0.058795
190.147776763082,42,0.06153
191.609739082005,29,0.070765
195.52040963513,104,0.060768
198.368958718272,67,0.06522
202.527854823481,104,0.05846
208.552742213859,47,0.063253
209.992913578612,64,0.07755
216.671342119815,101,0.059455
223.093913793796,77,0.060914
227.22946282318,68,0.059634
230.328835719689,68,0.062349
233.866253124582,38,0.067375
240.188747805036,107,0.059722
242.318819261646,49,0.067936
243.7478038702,46,0.06157
249.978816119135,34,0.072429
251.477482367153,27,0.074149
251.978177252785,54,0.062221
257.42051196077,36,0.071213
260.747851318823,32,0.077023
260.930187458835,44,0.06404
263.795314882031,15,0.071043
265.920000174434,51,0.087037
266.265951712173,33,0.077391
270.309620357678,72,0.065797
272.030316575918,37,0.068765
274.309928393132,29,0.082421
276.408970469742,57,0.084032
276.417558019728,28,0.071632
278.905571815548,112,0.055363
301.688684088618,56,0.08362
302.632865329826,37,0.081161
303.176057674719,42,0.078232
304.049370686712,106,0.0572
308.429296409122,118,0.057846
310.387867922921,61,0.068988
316.975027705659,42,0.075616
319.728653803929,78,0.067467
320.780963411078,29,0.094591
321.477167490059,54,0.083642
322.275560965425,57,0.084105
323.454783285176,33,0.088879
325.863351230856,112,0.056735
333.001316533194,50,0.0966
359.092881310559,21,0.085579
368.809025123414,38,0.083013
372.947596485425,41,0.076129
375.214308533702,70,0.060376
384.286421085084,40,0.085349
389.303741317209,88,0.059139
391.654756457983,28,0.102887
393.62131371139,90,0.065702
398.902951637192,23,0.097578
405.57375718269,23,0.099159
410.797924104693,101,0.056956
423.639836213843,71,0.063914
429.739842962762,21,0.084943
448.591292157599,26,0.103718
457.370573285122,84,0.062066
497.282314618589,33,0.099698
664.566049715874,73,0.069206
