derived,basal
0.06404,0.085579
0.06153,0.084943
0.063253,0.082421
0.067936,0.099698
0.06157,0.081161
0.059634,0.088879
0.05846,0.077391
0.060768,0.077023
0.059455,0.071043
0.058795,0.083013
0.071213,0.078232
0.068765,0.085349
0.067375,0.087037
0.052995,0.084105
0.054928,0.083642
0.051691,0.08362
0.074149,0.084032
0.071632,0.07755
0.072429,0.097578
0.068988,0.103718
0.069206,0.094591
0.062221,0.102887
0.060376,0.099159
0.062066,
0.063914,
0.062483,
0.070765,
0.060914,
0.062349,
0.065797,
0.06522,
0.065702,
0.059139,
0.065381,
0.057846,
0.056956,
0.067467,
0.056735,
0.059722,
0.057200,
0.055363,
0.075616,
0.076129,
